Season,Episode,Time_Stamp,Dialogue,NRC_Sentiment,AFINN_Sentiment,AFINN_Sentiment_Score,BING_Sentiment,Segment,HighControversial,MediumControversial,LowControversial
1,1,00:00:07,"Mom, Dad, I found cigarettes in Greg's jacket.","joy,positive,trust",Neutral,0,Neutral,1,0,0,0
1,1,00:00:10,"Greg, were you smoking cigarettes?",Neutral,Neutral,0,Neutral,1,0,0,0
1,1,00:00:10,"No, Dad.",Neutral,Negative,-2,Neutral,1,0,0,0
1,1,00:00:12,He's lying. There's no doubt about that.,"anger,disgust,fear,negative,sadness,trust",Negative,-2,Negative,1,0,0,0
1,1,00:00:14,"Greg, I'm afraid your punishment will be four hours in the snakepit.","anger,disgust,fear,negative",Negative,-2,Negative,1,0,0,8.33
1,1,00:00:18,That'll give you time to think about what you did.,anticipation,Neutral,0,Neutral,1,0,0,10
1,1,00:00:20,Man!,Neutral,Neutral,0,Neutral,1,0,0,0
1,1,00:00:22,That'll teach him.,"joy,positive,surprise,trust",Neutral,0,Neutral,1,0,0,0
1,1,00:00:26,"Jan, I'm afraid you've earned a day in the fire chamber for tattling on your brother.","fear,negative,positive,trust",Negative,-4,Negative,1,0,0,12.5
1,1,00:00:29,Smoking. How does a boy like that go so wrong?,negative,Neutral,0,Positive,1,0,0,10
1,1,00:00:32,They live in a crummy neighborhood.,anticipation,Neutral,0,Negative,1,0,0,0
1,1,00:00:32,The Bradys?,Neutral,Neutral,0,Neutral,1,0,0,0
1,1,00:00:34,"Yeah. They got robbers, thugs, drug dealers. You name it.",Neutral,Positive,1,Neutral,1,10,0,0
1,1,00:00:38,You folks want some pancakes?,Neutral,Positive,1,Neutral,1,0,0,0
1,1,00:01:07,"No, thanks. See, that's the worst we got is Jemima's Witnesses. It seems today that all you see is violence in movies and sex on TV But where are those good, old-fashioned values on which we used to rely? Lucky there's a family guy Lucky there's a man who'll positively tell you all the things that make us laugh 'n' cry He's a family guy","anger,anticipation,fear,joy,negative,positive,sadness,surprise,trust",Positive,6,Negative,1,3.08,3.08,6.15
1,1,00:01:17,"Mom, my lips are too thin. Can I please get collagen injections?",Neutral,Positive,1,Neutral,1,0,0,0
1,1,00:01:20,"Meg, you don't need to change the way you look.",fear,Neutral,0,Neutral,1,0,0,0
1,1,00:01:23,"You know, most of the world's problems stem from poor self-image.",Neutral,Negative,-8,Negative,1,0,0,0
1,1,00:01:36,Excellent! The mind-control device is nearing completion!,"anticipation,joy,positive,trust",Positive,3,Positive,1,0,0,0
1,1,00:01:39,"Stewie, I said no toys at the table.",Neutral,Negative,-2,Neutral,1,0,0,0
1,1,00:01:41,"Damn you, vile woman!","anger,disgust,negative",Negative,-14,Negative,1,0,0,0
1,1,00:01:43,You've impeded my work since the day I escaped from your wretched womb.,"disgust,fear,negative,positive,sadness",Neutral,0,Positive,1,0,0,7.69
1,1,00:01:49,"Don't pout, honey. When you were born the doctor said you were the happiest looking baby he'd ever seen.","joy,positive,trust",Neutral,0,Negative,1,0,0,0
1,1,00:01:57,"But, of course. That was my victory day. The fruition of my deeply-laid plans to escape from that cursed ovarian bastille! Return the device, woman!","anger,anticipation,fear,joy,negative,positive,sadness,trust",Negative,-1,Positive,1,0,0,4
1,1,00:02:02,"No toys, Stewie.",Neutral,Negative,-1,Neutral,1,0,0,0
1,1,00:02:03,"Very well, then.",Neutral,Neutral,0,Positive,1,0,0,0
1,1,00:02:04,"Mark my words, when you least expect it, your uppance will come!","anger,anticipation,negative,positive,surprise,trust",Neutral,0,Neutral,1,0,0,8.33
1,1,00:02:10,"Mom, can I turn the heat up?",Neutral,Neutral,0,Neutral,1,0,0,14.29
1,1,00:02:12,"Don't touch the thermostat, Meg. Your father gets upset.","anger,negative,sadness,trust",Negative,-2,Negative,1,0,0,11.11
1,1,00:02:15,Come on. This thing goes up to 90.,Neutral,Neutral,0,Neutral,1,0,0,12.5
