"",Season,Episode,Character,Line,Segment,WC,WPS,BigWords,Dic,IVED
0,10,1,Stan,"You guys, you guys! Chef is going away.",1,8,4,0,0,0
1,10,1,Kyle,Going away? For how long?,1,5,2.5,0,0,0
2,10,1,Stan,Forever.,1,1,1,100,0,0
3,10,1,Chef,I'm sorry boys.,1,3,3,0,0,0
4,10,1,Stan,"Chef said he's been bored, so he joining a group called the Super Adventure Club.",1,15,15,13.33,0,0
5,10,1,Chef,Wow!,1,1,1,0,0,0
6,10,1,Mrs. Garrison,Chef?? What kind of questions do you think adventuring around the world is gonna answer?!,1,15,7.5,13.33,0,0
7,10,1,Chef,What's the meaning of life? Why are we here?,1,9,4.5,11.11,0,0
8,10,1,Mrs. Garrison,I hope you're making the right choice.,1,7,7,0,0,0
9,10,1,Cartman,I'm gonna miss him.  I'm gonna miss Chef and I...and I don't know how to tell him!,1,18,9,0,0,0
10,10,1,Stan,"Dude, how are we gonna go on? Chef was our fuh...f-ffriend.",1,12,6,8.33,0,0
11,10,1,Mayor McDaniels,"And we will all miss you, Chef,  but we know you must do what your heart tells you..",1,18,18,0,0,0
12,10,1,Jimbo,Bye-bye!,1,1,1,0,0,0
13,10,1,Gerald,Good-bye!,1,1,1,100,0,0
14,10,1,Mr. Mackey,So long!,1,2,2,0,0,0
15,10,1,A Man,"So long, Chef!",1,3,3,0,0,0
16,10,1,A Sign-Holder,"Good-bye, Chef!",1,2,2,50,0,0
17,10,1,Randy,"Good-bye, Chef! Have a great time with the Super Adventure Club!",1,11,5.5,18.18,0,0
18,10,1,Chef,Good-bye! ..,1,1,1,100,0,0
19,10,1,Kyle,"Draw two card, fatass.",1,4,4,0,0,0
20,10,1,Cartman,"Reverse to you, Jew.",1,4,4,25,0,0
21,10,1,Stan,I'll get it.,1,3,3,0,0,0
22,10,1,Chef,"Hello there, children!",1,3,3,33.33,0,0
23,10,1,Stan,He's back!,1,2,2,0,0,0
24,10,1,Kyle,Yeah!,1,1,1,0,0,0
25,10,1,Cartman,All right!,1,2,2,0,0,0
26,10,1,Kyle,Chef! I can't believe you're back!,1,6,3,16.67,0,0
27,10,1,Chef,"Well, it's true.",1,3,3,0,0,0
28,10,1,Stan,But are you back for good?,1,6,6,0,0,0
29,10,1,Chef,That's right.,1,2,2,0,0,0
30,10,1,Mrs. Garrison,Hey everybody! Chef's back!,1,4,2,25,0,0
31,10,1,Patrons,What? All right! Yeah!,1,4,1.33,0,0,0
32,10,1,Randy,"Oh, finally!",1,2,2,50,0,0
33,10,1,Gerald,"Wow! It seems like you had a great time with the Super Adventure Club, Chef. They sound like really interesting people.",1,21,7,9.52,0,0
34,10,1,Chef,Yeah!,1,1,1,0,0,0
35,10,1,Mrs. Garrison,"But now that you're back here, does that mean that you're not in the Super Adventure Club anymore?",1,18,18,11.11,0,0
36,10,1,Chef,Nnono!,1,1,1,0,0,0
37,10,1,Randy,"Ohhh, so have you decided you can still belong to the Super Adventure Club but live here in South Park again?",1,21,21,9.52,0,0
38,10,1,Chef,That's right.,1,2,2,0,0,0
39,10,1,Randy,"Well, it seems like the Super Adventure Club was just what you needed, Chef. You must be feeling very happy that you found a club to belong to with new friends, but that you can also live here in South Park with all your old friends whom you care for deeply.  Right?",1,52,17.33,7.69,0,0
40,10,1,Chef,That's right. Randy!,1,3,1.5,0,0,0
