,Season,Episode,Character,Line,prob
0,10,1,Stan,"You guys, you guys! Chef is going away. ",0.11873217299580574
1,10,1,Kyle,Going away? For how long?,0.07710510981269181
2,10,1,Stan,Forever.,0.10233616922050714
3,10,1,Chef,I'm sorry boys.,0.12545682257041335
4,10,1,Stan,"Chef said he's been bored, so he joining a group called the Super Adventure Club. ",0.20147697068750858
5,10,1,Chef,Wow!,0.19492380088195205
6,10,1,Mrs. Garrison,Chef?? What kind of questions do you think adventuring around the world is gonna answer?!,0.08123987936414778
7,10,1,Chef,What's the meaning of life? Why are we here?,0.08938879473134875
8,10,1,Mrs. Garrison,I hope you're making the right choice.,0.088475551456213
9,10,1,Cartman,I'm gonna miss him.  I'm gonna miss Chef and I...and I don't know how to tell him! ,0.08783148368820548
10,10,1,Stan,"Dude, how are we gonna go on? Chef was our f...f-ffriend. ",0.14709451934322715
11,10,1,Mayor McDaniels,"And we will all miss you, Chef,  but we know you must do what your heart tells you..",0.08742798818275332
12,10,1,Jimbo,Bye-bye!,0.09524035849608481
13,10,1,Gerald,Good-bye!,0.0916685676202178
14,10,1,Mr. Mackey,So long!,0.1879689982160926
15,10,1,A Man,"So long, Chef!",0.07837691809982061
16,10,1,A Sign-Holder,"Good-bye, Chef!",0.08130419300869107
17,10,1,Randy,"Good-bye, Chef! Have a great time with the Super Adventure Club!",0.07494100136682391
18,10,1,Chef,Good-bye! ..,0.10142389219254255
19,10,1,Kyle,"Draw two card, fatass.",99.67595934867859
20,10,1,Cartman,"Reverse to you, Jew. ",98.29533100128174
21,10,1,Stan,I'll get it. ,0.38912096060812473
22,10,1,Chef,"Hello there, children!",0.09426873875781894
23,10,1,Stan,He's back!,0.1183867221698165
24,10,1,Kyle,Yeah!,0.2074390184134245
25,10,1,Cartman,All right! ,0.13361928286030889
26,10,1,Kyle,Chef! I can't believe you're back!,0.0960984907578677
27,10,1,Chef,"Well, it's true.",0.17141952412202954
28,10,1,Stan,But are you back for good?,0.09742428665049374
29,10,1,Chef,That's right.,0.32678190618753433
30,10,1,Mrs. Garrison,Hey everybody! Chef's back!,0.07761746528558433
31,10,1,Patrons,What? All right! Yeah! ,0.09468605858273804
32,10,1,Randy,"Oh, finally! ",0.10066733229905367
33,10,1,Gerald,"Wow! It seems like you had a great time with the Super Adventure Club, Chef. They sound like really interesting people.",0.09270226582884789
34,10,1,Chef,Yeah!,0.2074390184134245
35,10,1,Mrs. Garrison,"But now that you're back here, does that mean that you're not in the Super Adventure Club anymore?",0.0822537112981081
36,10,1,Chef,Nnono!,0.559265399351716
37,10,1,Randy,"Ohhh, so have you decided you can still belong to the Super Adventure Club but live here in South Park again?",0.07156896172091365
38,10,1,Chef,That's right.,0.32678190618753433
39,10,1,Randy,"Well, it seems like the Super Adventure Club was just what you needed, Chef. You must be feeling very happy that you found a club to belong to with new friends, but that you can also live here in South Park with all your old friends whom you care for deeply.  Right?",0.08180778240785003
40,10,1,Chef,That's right. Randy! ,0.17638063291087747
41,10,1,Jimbo,"Well Chef, you're welcome to stay with me until you buy another house.",0.09109097300097346
42,10,1,Chef,Thank you. Jimbo.,0.14479649253189564
43,10,1,Randy,"Well, come on everybody. I'm sure Chef would like a little time to get moved back in.",0.07873432477936149
44,10,1,Chef,That's right! Thank you. Good-bye- Everybody.,0.09757441002875566
45,10,1,Townsfolk,Later. Great to have you back. Bye-bye. See ya Chef. See you later. Bye-bye,0.08269247482530773
46,10,1,Kyle,"Well, I- guess we'll see you in school tomorrow, Chef.",0.07901035132817924
47,10,1,Chef,You bet! Good-bye. Children! ,0.12920413864776492
48,10,1,Stan,"Right. Uh, see ya.",0.15773478662595153
49,10,1,Cartman,"Uh, guys? Did Chef seem a little, , trippy to you?",0.8927182294428349
50,10,1,Stan,"Well, look. he said he's happier now. Maybe he just needs to rest up a little.",0.0951876922044903
51,10,1,Kyle,Yeah. I'm sure whatever that Super Adventure Club does is pretty tiring.,0.30322226230055094
52,10,1,Stan,"Yeah, but whatever, I'm just glad he's back for good.",0.0894732482265681
53,10,1,Kenny,"(Yeah, me too.)",0.1625497010536492
54,10,1,A Boy,"It's really weird what he said. I don't know, it kind of confused me.",0.13238139217719436
55,10,1,Cartman,"Oh boy oh boy, I can't wait to have Chef's lunch food again.",0.08749573607929051
56,10,1,Kyle,Yeah. I hope he makes his Salisbury steak with buttered noodles! ,0.15474255196750164
57,10,1,Clyde,"You guys, you guys.",0.49215969629585743
58,10,1,Stan,What?,0.801406241953373
59,10,1,Clyde,Something's wrong with Chef. He's saying some really weird stuff.,0.1396162318997085
60,10,1,Kyle,Like what?,0.6762124598026276
61,10,1,Clyde,I think...  I think he wants to have sex with me.,98.37194085121155
62,10,1,Stan,What??,2.6077760383486748
63,10,1,Clyde,I gotta- I gotta go. ,0.1902574789710343
64,10,1,Kyle,Weirdo. ,2.3001618683338165
65,10,1,Chef,"Hello there, children!",0.09426873875781894
66,10,1,The Boys,Hey Chef.,0.11591083602979779
67,10,1,Chef,How's it goin'?,0.13988022692501545
68,10,1,Kyle,Good.,0.35444835666567087
69,10,1,Chef,"Well, how about I meet you boys after work and we make love?",0.18759033409878612
70,10,1,Cartman,Excuse me?,0.6502560339868069
71,10,1,Chef,"Come on, children! You're my sexual fantasy. Let's all make sweet love.",96.89128398895264
72,10,1,Kyle,...Chef?? A-are you okay?,0.09286829154007137
73,10,1,Chef,"I want to stick my balls inside your rect, Kyle.",98.62332344055176
74,10,1,Stan,"Dude, what are you saying??",0.9278224781155586
75,10,1,Chef,"I'm gonna make love to your asshole, children.",99.7329592704773
76,10,1,Stan,...WHAT??,0.37059884052723646
77,10,1,Det. Jarvis,"Hi kids, I'm Detective Jarvis. I need to ask you all some difficult questions about your school cafeteria chef.",0.09576762095093727
78,10,1,Kyle,This doesn't make any sense!,0.2446741098538041
79,10,1,Det. Jarvis,We have some information that all this time Chef has been and still is a pedophile.,98.17216396331787
80,10,1,Stan,"No, he's not.",0.62991539016366
