,Season,Episode,Character,Line,prob,class
19,10,1,Kyle,"Draw two card, fatass.",99.6759593486786,1
20,10,1,Cartman,"Reverse to you, Jew. ",98.29533100128174,1
61,10,1,Clyde,I think...  I think he wants to have sex with me.,98.37194085121156,1
71,10,1,Chef,"Come on, children! You're my sexual fantasy. Let's all make sweet love.",96.89128398895264,1
73,10,1,Chef,"I want to stick my balls inside your rect, Kyle.",98.62332344055176,1
75,10,1,Chef,"I'm gonna make love to your asshole, children.",99.7329592704773,1
79,10,1,Det. Jarvis,We have some information that all this time Chef has been and still is a pedophile.,98.17216396331789,1
84,10,1,Butters,What's a pedophile?,99.70580339431764,1
86,10,1,Stan,NO!,97.39362001419067,1
88,10,1,The Class,NO!,97.39362001419067,1
98,10,1,Chef,"Kenny, how would you like to sodomize my black ass",99.73559379577635,1
100,10,1,Chef,"I specializes in your asshole, Kyle. ",99.7320592403412,1
101,10,1,Cartman,"...Man, I can't believe all this time, Chef just wanted us for sex.",97.7978527545929,1
102,10,1,Kyle,"He didn't want us for sex, fatass! Something is making him say those things.",99.30089712142944,1
109,10,1,Cartman,"Hey you guys, you know what they call a Jewish woman's boobs? Jewbs. ",98.83409142494202,1
118,10,1,Kyle,"Uh, hi. Our friend joined your club a while back, and now he wants to molest kids. ",96.30041718482973,1
121,10,1,Marksman,We travel the world and have sex with children!,99.02524948120116,1
124,10,1,Mr. Connolly,"Noo, no, that's the Adventure Club. We're the Super Adventure Club!  Next week, we'll be heading to the outer banks of the Amazon, where we will make camp and have sex with children of the Ugani tribe, then it's off to the mighty Himalayas, where we will climb K-2, and molest several Tibetan children on the east smit.",97.48324751853944,1
125,10,1,Kyle,...Dude!,97.95077443122864,1
126,10,1,Mr. Connolly,"I know, but it gets even better! From there we will kayak to the fruitful banks of the Mele River in Africa, where the secret and mysterious Hanimi people have children who have never seen a white man's erect penis. Of course, we're always looking for kids to have sex with on the plane rides over to these places, so how would you ALL like to join the Super Adventure Club!",98.27086925506592,1
127,10,1,Stan,NO!!,97.65534996986388,1
132,10,1,Kyle,Just what the hell is that thing?!,99.00454878807068,1
136,10,1,Kyle,The reason Chef has been saying those terrible things about us is because he's been brainwashed! By this- fruity little club!,97.65095710754396,1
137,10,1,Cartman,"Oh, son of a bitch!",99.7396469116211,1
140,10,1,Chef,I just like to make love up your butt.,99.32560920715332,1
146,10,1,Dr. Neeland,Brainwashed.,97.97202944755554,1
147,10,1,Stan,"Yeah, he joined the Super Adventure Club, and they convinced him having sex with children was okay with a little thing that goes whrrrrrr.",96.9289004802704,1
149,10,1,Stan,"No, that's the Adventure Club. The Super Adventure Club has sex with children.",98.056960105896,1
153,10,1,Chef,Have you all been sodomizing your children too?,99.03321862220764,1
161,10,1,Dr. Neeland,"Tell me, what was Chef's favorite thing to do before it was having sex with children?",97.50894904136658,1
162,10,1,Stan,Having sex with women.,99.37987923622131,1
171,10,1,Cartman,"Come on, bitch! Dance!",99.73715543746948,1
172,10,1,Blonde,"Up yours, fatty.",96.56489491462708,1
173,10,1,Cartman,"Bitch, I'll twist your nuts off!",99.73388314247131,1
176,10,1,Chef,God-damn!,99.69049096107484,1
193,10,1,Mr. Connolly,"Tally ho, lads! I must say you're starting to become quite a thorn in my balls.",96.2281346321106,1
196,10,1,Cartman,"Look: If you wanna go around the world molesting kids, that's totally fine. But why do you need Chef?!",98.38113188743591,1
201,10,1,Mr. Connolly,"You see, the Super Adventure Club was founded by the greatest explorer of all time, William P. Phinehas!  Phinehas climbed the highest peaks, tamed the mightiest rivers,  but every time he got somewhere, he realized that other explorers had beat him to it.  Phinehas was depressed, until he realized that if he couldn't be the first to discover places, he could be the first to have sex with the native children that inhabited those areas!  Phinehas quickly went down in history books as the first man to have sex with the Aborigine children at Uluru, and the first explorer to bugger all the underage mountainfolk of Nepal.  But now the most wonderful part. You see, after having sex with all those children, Phinehas realized that... molesting all those kids... had made him immortal.",96.8168079853058,1
204,10,1,Kyle,...Do you realize how retarded that sounds?,97.02882766723631,1
205,10,1,Mr. Connolly,Is it any more retarded than the idea of God sending his son to die for our sins? Is it any more retarded than Buddha sitting beneath a tree for twenty years?,95.9784746170044,1
206,10,1,Stan,"Yeah, it's way, way more retarded.",97.50187397003174,1
211,10,1,Mr. Connolly,"Cool people leave before they've overstayed their welcome.  You petulant fools! You just had to push it, didn't you? You don't realize who you're dealing with here. Security!  Take these boys to the door.",98.00218939781188,1
218,10,1,William,And sex with Eskimo children requires some special skills. ,96.98176980018616,1
220,10,1,Chef,Children!,96.40119075775146,1
230,10,1,Mr. Connolly,Stop them! ,97.38996624946594,1
237,10,1,Kyle,"Yeah, he wanted adventure! Not a bunch of ridiculous bullcrap! Right Chef?  Chef?",98.33558797836304,1
242,10,1,Chef,"Get the hell out of here, children!!",98.30511212348938,1
245,10,1,Chef,Ack.  Ow! Oh! Ah! Oh! Dammit!  Ah- Awww! ,98.8749861717224,1
251,10,1,Kyle,CHEF! ,98.09918999671936,1
254,10,1,Kyle,You bastards. YOU BASTARDS!,99.73526000976562,1
255,10,1,Mr. Connolly,Pity. He would have made an excellent child molester. ,99.188494682312,1
257,10,1,Chef,POOOT! ,96.81903123855592,1
271,10,1,Darth Chef,"No, I mean my balls.",97.37063646316528,1
289,10,2,Gerald,"Okay, there's another one.  Aw, man! Look at that!  Can you believe this?! An SUV with a V8 engine, makes me sick!  ""Ticket for driving a gas-guzzler""",96.23352289199828,1
300,10,2,Randy,"A ticket? ""Failure to care about the environment"" Oh Goddammit, did you do this, Gerald?!",96.29737734794617,1
305,10,2,Jimbo,"Broflovski, did you put this crap on my windshield?! ",99.67623949050903,1
307,10,2,Jimbo,"Well thanks, Officer Dickhole!",99.27951693534852,1
315,10,2,Darryl,Who the hell put this faggy fake ticket on my truck!,99.6935486793518,1
316,10,2,Gerald,"All right, that does it! Come on, Kyle, I don't want you hanging around with these ignorant idiots! ",99.71954822540285,1
349,10,2,Cartman,"You guys, this is our party. That no-good back-stabbing Jew rat is finally leaving! Come on, everyone! Let's sing! 'Nanana na! Nanana na! Hey hey hey! Goodbye Kyle!",98.5116183757782,1
353,10,2,Gerald,"I'm sorry, Stan, but unfortunately you live in a small-minded town filled with ignorant boobs.",98.65337610244752,1
381,10,2,Cartman,"THAT's gay, heh.",98.60650300979614,1
385,10,2,Cartman,"Psh! Whatever dude. I don't need Kyle to rip on, I've got Butters. Come on, Butters, you stupid Jew! ",99.6517300605774,1
386,10,2,Butters,Yeah! I'm a db Jew. ,99.47315454483032,1
396,10,2,Mr. Mackey,"Well from now on, I'm only going to associate with other hybrid-car drivers. Everyone else is just ignorant, m'kay?",97.75985479354858,1
411,10,2,Ranger McFriendly,You son of a bitch! Do you have any idea what you've done?!,99.72647428512572,1
417,10,2,Stan,Smug?,97.03301787376404,1
431,10,2,Alan,Can you believe all these imbeciles in Texas? They just put another prisoner to death. ,99.70603585243224,1
444,10,2,Cartman,"Haha! Take that, Jew boy! I guess you Heebs can't even play video football!",97.29572534561156,1
446,10,2,Cartman,"You know Butters, you make for a lousy Jew.",97.73755073547365,1
448,10,2,Cartman,"No, no! Don't apologize, you asshole!",99.73529577255248,1
462,10,2,Keenan,"Kid, thanks to your gay little song, there's not gonna be a San Francisco.",96.8712568283081,1
464,10,2,Randy,Are you trying to tell us the smug from our hybrids is actually gonna kill us all?,96.75679206848145,1
466,10,2,Jimbo,This is all Stan's fault! He wrote that gay little song and got us to drive those damned hybrids!,98.6506164073944,1
467,10,2,Randy,"Yeah. Good going, stupid!",99.68467354774477,1
469,10,2,Stephen,Then that's it. There's only one way to reduce smugness. We've gotta destroy every hybrid car in town! ,97.54090905189514,1
473,10,2,Randy,Oh no you're not! Your gay little song got us to drive hybrids; you're gonna help us get rid of 'em!,97.82347083091736,1
476,10,2,Attendant,The hell is that? ,99.41220879554749,1
506,10,2,Network Anchor,"And now, the worst appears to be over. Last night's smug storm... has left thousands homeless. All across the Midwest, people are picking up the pieces. Cities like Denver and South Park are heavily damaged, but still all right. However, San Francisco, I'm afraid... has disappeared completely up its own asshole.",96.75881266593932,1
508,10,2,Randy,"I'm sorry, Stan. I'm sorry your gay little song killed your friend.",96.01241946220398,1
520,10,2,Gerald,"And let's make sure nobody gets a stupid hybrid, right? ",99.23173189163208,1
533,10,2,Cartman,"We just can't get rid of you, can we, you sneaky Jew rat!",99.0036964416504,1
534,10,2,Kyle,"Don't belittle my people, you fucking fatass! ",99.73629117012024,1
541,10,3,Randy,JUST GET THE GUN!! ,98.27263355255128,1
545,10,3,Stan,Kyle! What the hell is going on this time?!,96.2828516960144,1
559,10,3,Sheila,Why would Family Guy so blatantly insult Muslims?,99.41853880882265,1
565,10,3,Tom,"The news has already sparked a shockwave of protests throughout the Muslim world.  All over the Middle East, Muslims are burning American flags and Family Guy posters. Muslim terrorist al-Zawahri made this statement:",97.11554646492004,1
