,Season,Episode,Character,Line,prob
0,10,1,Stan,you guys you guys chef is going away ,0.14591903891414404
1,10,1,Kyle,going away for how long,0.08484271238557994
2,10,1,Stan,forever,0.10989445727318525
3,10,1,Chef,im sorry boys,0.1528727589175105
4,10,1,Stan,chef said hes been bored so he joining a group called the super adventure club ,0.20149729680269957
5,10,1,Chef,wow,0.2730052685365081
6,10,1,Mrs. Garrison,chef what kind of questions do you think adventuring around the world is gonna answer,0.07938090129755437
7,10,1,Chef,whats the meaning of life why are we here,0.10924835223704576
8,10,1,Mrs. Garrison,i hope youre making the right choice,0.08800395880825818
9,10,1,Cartman,im gonna miss him  im gonna miss chef and iand i dont know how to tell him ,0.09330182219855487
10,10,1,Stan,dude how are we gonna go on chef was our ffffriend ,0.3087384160608053
11,10,1,Mayor McDaniels,and we will all miss you chef  but we know you must do what your heart tells you,0.08047021692618728
12,10,1,Jimbo,byebye,0.11944182915613055
13,10,1,Gerald,goodbye,0.10102802189067006
14,10,1,Mr. Mackey,so long,0.16299319686368108
15,10,1,A Man,so long chef,0.08393739117309451
16,10,1,A Sign-Holder,goodbye chef,0.08519591647200286
17,10,1,Randy,goodbye chef have a great time with the super adventure club,0.07617994560860097
18,10,1,Chef,goodbye ,0.0920282443985343
19,10,1,Kyle,draw two card fatass,99.4720458984375
20,10,1,Cartman,reverse to you jew ,99.46341514587402
21,10,1,Stan,ill get it ,0.37137889303267
22,10,1,Chef,hello there children,0.1170826144516468
23,10,1,Stan,hes back,0.20536226220428944
24,10,1,Kyle,yeah,0.30372836627066135
25,10,1,Cartman,all right ,0.18078871071338654
26,10,1,Kyle,chef i cant believe youre back,0.11490514734759927
27,10,1,Chef,well its true,0.22689281031489372
28,10,1,Stan,but are you back for good,0.10392561089247465
29,10,1,Chef,thats right,0.420181080698967
30,10,1,Mrs. Garrison,hey everybody chefs back,0.09455803083255887
31,10,1,Patrons,what all right yeah ,0.15403220895677805
32,10,1,Randy,oh finally ,0.10184193961322308
33,10,1,Gerald,wow it seems like you had a great time with the super adventure club chef they sound like really interesting people,0.09511404787190259
34,10,1,Chef,yeah,0.30372836627066135
35,10,1,Mrs. Garrison,but now that youre back here does that mean that youre not in the super adventure club anymore,0.07834917632862926
36,10,1,Chef,nnono,0.32518745865672827
37,10,1,Randy,ohhh so have you decided you can still belong to the super adventure club but live here in south park again,0.07041677017696202
38,10,1,Chef,thats right,0.420181080698967
39,10,1,Randy,well it seems like the super adventure club was just what you needed chef you must be feeling very happy that you found a club to belong to with new friends but that you can also live here in south park with all your old friends whom you care for deeply  right,0.08008902077563107
40,10,1,Chef,thats right randy ,0.7272514048963785
41,10,1,Jimbo,well chef youre welcome to stay with me until you buy another house,0.08773562731221318
42,10,1,Chef,thank you jimbo,0.10439790785312653
43,10,1,Randy,well come on everybody im sure chef would like a little time to get moved back in,0.07573665352538228
44,10,1,Chef,thats right thank you goodbye everybody,0.13200168032199144
45,10,1,Townsfolk,later great to have you back byebye see ya chef see you later byebye,0.07515777833759785
46,10,1,Kyle,well i guess well see you in school tomorrow chef,0.07994407205842435
47,10,1,Chef,you bet goodbye children ,0.10928248520940542
48,10,1,Stan,right  see ya,0.26714708656072617
49,10,1,Cartman, guys did chef seem a little  trippy to you,1.0855854488909245
50,10,1,Stan,well look he said hes happier now maybe he just needs to rest up a little,0.08019774104468524
51,10,1,Kyle,yeah im sure whatever that super adventure club does is pretty tiring,0.24866017047315836
52,10,1,Stan,yeah but whatever im just glad hes back for good,0.0910226081032306
53,10,1,Kenny,yeah me too,0.3359597874805331
54,10,1,A Boy,its really weird what he said i dont know it kind of confused me,0.09272241732105613
55,10,1,Cartman,oh boy oh boy i cant wait to have chefs lunch food again,0.07844222709536552
56,10,1,Kyle,yeah i hope he makes his salisbury steak with buttered noodles ,0.15215238090604544
57,10,1,Clyde,you guys you guys,1.6045385971665382
58,10,1,Stan,what,0.8099524304270744
59,10,1,Clyde,somethings wrong with chef hes saying some really weird stuff,0.1250856788828969
60,10,1,Kyle,like what,0.6025372538715601
61,10,1,Clyde,i think  i think he wants to have sex with me,98.47097992897034
62,10,1,Stan,what,0.8099524304270744
63,10,1,Clyde,i gotta i gotta go ,0.12037508422508836
64,10,1,Kyle,weirdo ,2.1600717678666115
65,10,1,Chef,hello there children,0.1170826144516468
66,10,1,The Boys,hey chef,0.1820964738726616
67,10,1,Chef,hows it goin,0.34212369937449694
68,10,1,Kyle,good,0.2775321016088128
69,10,1,Chef,well how about i meet you boys after work and we make love,0.21217099856585264
70,10,1,Cartman,excuse me,0.308810593560338
71,10,1,Chef,come on children youre my sexual fantasy lets all make sweet love,24.83402192592621
72,10,1,Kyle,chef aare you okay,0.1337295980192721
73,10,1,Chef,i want to stick my balls inside your rect kyle,98.98659586906433
74,10,1,Stan,dude what are you saying,97.6264238357544
75,10,1,Chef,im gonna make love to your asshole children,99.73517656326294
76,10,1,Stan,what,0.8099524304270744
77,10,1,Det. Jarvis,hi kids im detective jarvis i need to ask you all some difficult questions about your school cafeteria chef,0.0981293385848403
78,10,1,Kyle,this doesnt make any sense,0.30275555327534676
79,10,1,Det. Jarvis,we have some information that all this time chef has been and still is a pedophile,98.61471056938171
80,10,1,Stan,no hes not,1.2118389829993248
81,10,1,Det. Jarvis, h,2.72641871124506
82,10,1,Stan,no hes not,1.2118389829993248
83,10,1,Det. Jarvis,yeah yeah he is so,0.21480785217136145
84,10,1,Butters,whats a pedophile,99.73217844963074
85,10,1,Det. Jarvis,now we need some testimony in order to arrest chef  so im gonna use this doll to ask you kids a few questions did chef ever touch any of you here ,0.21166519727557898
86,10,1,Stan,no,0.4033636301755905
87,10,1,Det. Jarvis,okay did he touch you here ,0.13476329622790217
88,10,1,The Class,no,0.4033636301755905
89,10,1,Det. Jarvis,did he ever do this how about this ,0.6854712031781673
90,10,1,Butters,my uncle bud did that to me once ,0.1404543872922659
91,10,1,Det. Jarvis,did chef ever try one of these on for size ,0.10379311861470342
92,10,1,Kyle,goddammit chef isnt like that something funny is going on around here,26.12481415271759
