,Season,Episode,Time_Stamp,Line,NRC_Sentiment,AFINN_Sentiment,AFINN_Sentiment_Score,BING_Sentiment,prob
0,1,1,00:00:07,mom dad i found cigarettes in gregs jacket,"joy,positive,trust",Neutral,0,Neutral,0.10749835055321455
1,1,1,00:00:10,greg were you smoking cigarettes,Neutral,Neutral,0,Neutral,1.488926075398922
2,1,1,00:00:10,no dad,Neutral,Negative,-2,Neutral,0.5637726280838251
3,1,1,00:00:12,hes lying theres no doubt about that,"anger,disgust,fear,negative,sadness,trust",Negative,-2,Negative,1.1357651092112064
4,1,1,00:00:14,greg im afraid your punishment will be four hours in the snakepit,"anger,disgust,fear,negative",Negative,-2,Negative,96.7600405216217
5,1,1,00:00:18,thatll give you time to think about what you did,anticipation,Neutral,0,Neutral,0.08032863843254745
6,1,1,00:00:20,man,Neutral,Neutral,0,Neutral,0.35277404822409153
7,1,1,00:00:22,thatll teach him,"joy,positive,surprise,trust",Neutral,0,Neutral,0.18880104180425406
8,1,1,00:00:26,jan im afraid youve earned a day in the fire chamber for tattling on your brother,"fear,negative,positive,trust",Negative,-4,Negative,2.88142878562212
9,1,1,00:00:29,smoking how does a boy like that go so wrong,negative,Neutral,0,Positive,0.33765642438083887
10,1,1,00:00:32,they live in a crmy neighborhood,anticipation,Neutral,0,Negative,0.6073249503970146
11,1,1,00:00:32,the bradys,Neutral,Neutral,0,Neutral,0.42173219844698906
12,1,1,00:00:34,yeah they got robbers thugs drug dealers you name it,Neutral,Positive,1,Neutral,98.3763575553894
13,1,1,00:00:38,you folks want some pancakes,Neutral,Positive,1,Neutral,0.2373983385041356
14,1,1,00:01:07,no thanks see thats the worst we got is jemimas witnesses it seems today that all you see is violence in movies and sex on tv but where are those good oldfashioned values on which we used to rely lucky theres a family guy lucky theres a man wholl positively tell you all the things that make us laugh n cry hes a family guy,"anger,anticipation,fear,joy,negative,positive,sadness,surprise,trust",Positive,6,Negative,0.6356811616569757
15,1,1,00:01:17,mom my lips are too thin can i please get collagen injections,Neutral,Positive,1,Neutral,0.10181289399042726
16,1,1,00:01:20,meg you dont need to change the way you look,fear,Neutral,0,Neutral,0.15933287795633078
17,1,1,00:01:23,you know most of the worlds problems stem from poor selfimage,Neutral,Negative,-8,Negative,0.1651045517064631
18,1,1,00:01:36,excellent the mindcontrol device is nearing completion,"anticipation,joy,positive,trust",Positive,3,Positive,0.0780161120928824
19,1,1,00:01:39,stewie i said no toys at the table,Neutral,Negative,-2,Neutral,0.09206885588355362
20,1,1,00:01:41,damn you vile woman,"anger,disgust,negative",Negative,-14,Negative,99.73556995391846
21,1,1,00:01:43,youve impeded my work since the day i escaped from your wretched womb,"disgust,fear,negative,positive,sadness",Neutral,0,Positive,0.11394498869776726
22,1,1,00:01:49,dont pout honey when you were born the doctor said you were the happiest looking baby hed ever seen,"joy,positive,trust",Neutral,0,Negative,0.0905035063624382
23,1,1,00:01:57,but of course that was my victory day the fruition of my deeplylaid plans to escape from that cursed ovarian bastille return the device woman,"anger,anticipation,fear,joy,negative,positive,sadness,trust",Negative,-1,Positive,0.8271778002381325
24,1,1,00:02:02,no toys stewie,Neutral,Negative,-1,Neutral,0.11449198937043548
