,Season,Episode,Time_Stamp,Line,NRC_Sentiment,AFINN_Sentiment,AFINN_Sentiment_Score,BING_Sentiment,prob
0,1,1,00:00:07,mom dad i found cigarettes in gregs jacket,"joy,positive,trust",Neutral,0,Neutral,0.08817468187771738
1,1,1,00:00:10,greg were you smoking cigarettes,Neutral,Neutral,0,Neutral,1.2971766293048859
2,1,1,00:00:10,no dad,Neutral,Negative,-2,Neutral,0.268354918807745
3,1,1,00:00:12,hes lying theres no doubt about that,"anger,disgust,fear,negative,sadness,trust",Negative,-2,Negative,21.032917499542236
4,1,1,00:00:14,greg im afraid your punishment will be four hours in the snakepit,"anger,disgust,fear,negative",Negative,-2,Negative,97.84230589866638
5,1,1,00:00:18,thatll give you time to think about what you did,anticipation,Neutral,0,Neutral,0.06667905836366117
6,1,1,00:00:20,man,Neutral,Neutral,0,Neutral,0.1790807000361383
7,1,1,00:00:22,thatll teach him,"joy,positive,surprise,trust",Neutral,0,Neutral,0.21714940667152405
8,1,1,00:00:26,jan im afraid youve earned a day in the fire chamber for tattling on your brother,"fear,negative,positive,trust",Negative,-4,Negative,87.67982125282288
9,1,1,00:00:29,smoking how does a boy like that go so wrong,negative,Neutral,0,Positive,0.47923214733600616
10,1,1,00:00:32,they live in a crmy neighborhood,anticipation,Neutral,0,Negative,0.2458997769281268
11,1,1,00:00:32,the bradys,Neutral,Neutral,0,Neutral,0.10440167970955372
12,1,1,00:00:34,yeah they got robbers thugs drug dealers you name it,Neutral,Positive,1,Neutral,34.445300698280334
13,1,1,00:00:38,you folks want some pancakes,Neutral,Positive,1,Neutral,0.2520954003557563
14,1,1,00:01:07,no thanks see thats the worst we got is jemimas witnesses it seems today that all you see is violence in movies and sex on tv but where are those good oldfashioned values on which we used to rely lucky theres a family guy lucky theres a man wholl positively tell you all the things that make us laugh n cry hes a family guy,"anger,anticipation,fear,joy,negative,positive,sadness,surprise,trust",Positive,6,Negative,0.4136685747653246
15,1,1,00:01:17,mom my lips are too thin can i please get collagen injections,Neutral,Positive,1,Neutral,0.07258916739374399
16,1,1,00:01:20,meg you dont need to change the way you look,fear,Neutral,0,Neutral,0.6277943961322308
17,1,1,00:01:23,you know most of the worlds problems stem from poor selfimage,Neutral,Negative,-8,Negative,0.44100675731897354
18,1,1,00:01:36,excellent the mindcontrol device is nearing completion,"anticipation,joy,positive,trust",Positive,3,Positive,0.0605822482611984
19,1,1,00:01:39,stewie i said no toys at the table,Neutral,Negative,-2,Neutral,0.09998012101277709
20,1,1,00:01:41,damn you vile woman,"anger,disgust,negative",Negative,-14,Negative,98.10338020324707
21,1,1,00:01:43,youve impeded my work since the day i escaped from your wretched womb,"disgust,fear,negative,positive,sadness",Neutral,0,Positive,0.23347383830696344
22,1,1,00:01:49,dont pout honey when you were born the doctor said you were the happiest looking baby hed ever seen,"joy,positive,trust",Neutral,0,Negative,0.09467693162150681
